batter,matches,innings,runs,balls,batting_average,strike_rate,fours,sixes,boundary_pct,balls_per_boundary,dot_ball_pct,HS,fifties,hundreds,orange_cap_count,orange_cap_seasons,powerplay_sr,middle_overs_sr,death_overs_sr,chasing_sr,defending_sr,opener_sr,middle_order_sr,finisher_sr,best_venue_by_runs,best_venue_runs,best_venue_sr,player_impact_index,consistency_index,pressure_performance_rating,accel_mid_minus_pp,accel_death_minus_mid,top_dismissal_kind,top_dismissal_count
V Kohli,259,261,8652,6505,39.50684931506849,133.0053804765565,773,291,55.91770688858067,6.113721804511278,32.95926210607225,113,62,8,2,"2016, 2024",126.1308562197092,124.8295102293862,187.0485678704857,134.5892735913102,131.6942961506041,139.2767732962448,124.0946045824095,140.6862745098039,M Chinnaswamy Stadium,1865,135.932944606414,40.0030343097365,54.86951729945232,70.476091825286,-1.301345990322972,62.21905764109944,caught,149
RG Sharma,266,267,7004,5317,29.55274261603375,131.7284182809855,636,300,62.02170188463735,5.680555555555555,37.82208012036863,109,46,2,0,,124.4619422572178,121.2427184466019,180.5256869772999,127.2187004754358,135.8037952022914,133.3050847457627,130.7875084860828,45.45454545454545,Wankhede Stadium,1726,133.6948102246321,32.57315131881062,52.21329522172707,69.11085693272088,-3.219223810615901,59.28296853069793,caught,168
S Dhawan,221,222,6736,5304,34.90155440414508,126.9984917043741,763,152,58.8479809976247,5.79672131147541,37.14177978883861,106,49,2,0,,122.6632984482136,126.4775413711584,158.3732057416268,126.4876957494407,127.3704789833822,127.9619894864537,111.5151515151515,139.2857142857143,"Rajiv Gandhi International Stadium, Uppal",1137,121.9957081545064,35.61544816811488,54.53032075472272,47.87460918178397,3.814242922944757,31.89566437046841,caught,112
DA Warner,184,187,6537,4680,39.85975609756098,139.6794871794872,661,233,61.83264494416399,5.23489932885906,36.6025641025641,126,62,4,3,"2015, 2017, 2019",138.2168271243198,134.4507478081485,178.4090909090909,142.034632034632,137.3839662447257,140.6167822137222,131.7907444668008,,"Rajiv Gandhi International Stadium, Uppal",1152,161.7977528089888,45.98684294229293,54.76316518139332,67.91029139269688,-3.766079316171272,43.95834310094239,caught,105
SK Raina,200,201,5513,4025,32.23976608187134,136.9689440993789,504,203,58.66134590966806,5.693069306930693,33.14285714285715,100,39,1,0,,133.1330472103004,131.4236853356135,170.4414587332054,138.4248210023866,135.9301830566198,,137.0305894056205,75.0,"MA Chidambaram Stadium, Chepauk",1293,138.1410256410256,34.68035994641564,54.28367059883679,69.85588375307881,-1.70936187468692,39.01777339759187,caught,116
MS Dhoni,241,241,5409,3935,38.09154929577465,137.4587039390089,375,261,56.68330560177482,6.187106918238993,33.72299872935197,79,23,0,0,,81.94444444444444,100.5268703898841,175.1653944020356,135.369400814427,139.0794223826715,,141.0538286580743,130.1464919043948,"MA Chidambaram Stadium, Chepauk",1142,142.9286608260325,28.11893602120322,55.67735498684613,80.68637240186548,18.58242594543965,74.63852401215152,caught,98
KL Rahul,135,138,5226,3836,45.44347826086957,136.2356621480709,453,207,58.43857634902411,5.812121212121212,33.42022940563086,132,40,5,0,,127.0098322729902,134.0672782874618,177.5423728813559,137.8787878787879,134.7082494969819,138.3051907442151,125.4838709677419,138.8888888888889,Dubai International Cricket Stadium,612,146.4114832535885,47.57186567242443,55.97644457471427,65.26886592449979,7.057446014471594,43.47509459389417,caught,81
AB de Villiers,170,172,5148,3400,39.6,151.4117647058823,412,250,61.14996114996115,5.13595166163142,30.55882352941176,132,39,3,0,,120.6840390879479,131.3234542667348,221.5922798552473,137.603305785124,161.7043121149897,193.3333333333333,151.1224184375935,159.0909090909091,M Chinnaswamy Stadium,1390,155.6550951847704,42.49842239174345,52.34652185913749,73.08316551782312,10.6394151787869,90.2688255885125,caught,78
AM Rahane,183,183,5030,4021,30.48484848484848,125.0932603829893,515,123,55.62624254473161,6.302507836990595,36.3839840835613,105,33,2,0,,122.7076332213154,121.5831787260359,158.2554517133956,121.7042606516291,128.4304047384008,122.1080543586344,135.4166666666667,104.5454545454545,Sawai Mansingh Stadium,1100,122.4944320712695,31.13048611588897,53.38264116445229,61.01690136680963,-1.124454495279537,36.67227298735978,caught,104
CH Gayle,141,145,4956,3331,39.33333333333334,148.7841489042329,407,354,75.70621468926554,4.377135348226019,43.89072350645452,171,31,6,2,"2011, 2012",135.3340883352208,155.875486381323,201.0714285714286,143.3173406442769,153.0448717948718,151.2005410889415,129.6791443850267,,M Chinnaswamy Stadium,1511,158.3857442348008,52.00443340050506,51.17971785796587,60.97178026524938,20.54139804610213,45.19594219010563,caught,82
RV Uthappa,197,198,4942,3784,27.45555555555556,130.6025369978858,480,182,60.94698502630514,5.716012084592145,38.6892177589852,88,27,0,1,2014,124.5098039215686,128.2121377802078,174.922600619195,134.7473784556721,125.4448398576512,130.702263493906,130.8516063233044,124.0,Eden Gardens,1157,130.4396843291995,30.52216152840547,54.14016300509108,62.444294820795,3.702333858639136,46.71046283898727,caught,124
KD Karthik,233,235,4824,3570,26.21739130434782,135.1260504201681,462,161,58.33333333333334,5.730337078651686,34.14565826330532,97,22,0,0,,98.0246913580247,122.2757955641273,173.327222731439,132.258064516129,137.4057315233786,33.33333333333334,127.5836704670835,159.6698113207547,Eden Gardens,583,140.4819277108434,25.54492061647365,52.38407118395396,64.78503241897299,24.2511042061026,51.05142716731174,caught,118
F du Plessis,147,147,4763,3506,35.02205882352941,135.8528237307473,439,174,58.78647910980474,5.719412724306689,34.11294922989161,96,39,0,1,2021,136.2874251497006,126.149802890933,180.5732484076433,137.4149659863945,134.5156167284277,137.5818119187048,126.2886597938144,161.9047619047619,"M Chinnaswamy Stadium, Bengaluru",561,168.4684684684685,40.67274622351707,56.30349615458024,76.46532018842275,-10.13762225876761,54.42344551671033,caught,97
SV Samson,171,171,4696,3368,30.69281045751634,139.4299287410926,379,219,60.26405451448041,5.632107023411371,34.41211401425178,118,26,3,0,,124.1007194244604,137.1552190373175,191.6461916461917,136.4879649890591,142.9220779220779,137.9188712522046,140.4647731464404,117.7777777777778,"Sawai Mansingh Stadium, Jaipur",425,146.0481099656357,35.7054202944319,52.66733192659559,78.05000869088053,13.05449961285703,54.49097260887419,caught,105
AT Rayudu,185,185,4325,3391,27.90322580645161,127.5434974933648,358,171,56.83236994219653,6.410207939508506,34.94544382188145,100,22,1,0,,106.043956043956,120.9030948756976,169.0751445086705,123.1762065095398,132.3803604723431,132.2085889570552,124.3731563421829,147.5920679886686,Wankhede Stadium,821,125.3435114503817,27.20166916497578,53.12706569916234,67.79673135592758,14.85913883174157,48.1720496329729,caught,92
SA Yadav,151,152,4292,2889,34.61290322580645,148.5635167878158,452,167,65.47064305684995,4.667205169628433,33.85254413291796,103,29,2,0,,140.1197604790419,143.8983050847458,179.3791574279379,153.7528430629265,144.203821656051,135.6923076923077,152.4427150886295,129.4820717131474,"Wankhede Stadium, Mumbai",885,187.1035940803383,40.39288949097089,54.6314858555134,75.90767517945804,3.778544605703843,35.48085234319214,caught,95
G Gambhir,151,151,4197,3394,30.86029411764706,123.6593989393047,490,58,54.99166071003098,6.193430656934306,36.3877430760165,93,36,0,0,,121.5896885069817,123.6080178173719,144.8648648648649,119.6865817825661,129.6597633136095,124.6346555323591,118.5328185328185,50.0,Eden Gardens,1396,126.9090909090909,30.99186640542964,53.57135511828983,27.92543962143639,2.0183293103902,21.25684704749293,caught,80
JC Buttler,119,120,4097,2749,39.39423076923077,149.0360130956712,406,183,66.43885770075666,4.66723259762309,36.485994907239,118,24,7,1,2022,140.1332223147377,143.5593220338983,195.6521739130435,155.5223880597015,142.8672817601135,149.1,148.3870967741935,158.3333333333333,"Narendra Modi Stadium, Ahmedabad",473,158.7248322147651,49.28889453048966,52.47990446969753,67.24124854482044,3.42609971916059,52.09285187914517,caught,60
MK Pandey,160,162,3932,3239,29.12592592592593,121.395492435937,338,115,51.93285859613428,7.150110375275938,35.84439641864773,114,22,1,0,,114.2424242424242,117.6668536174986,150.8583690987124,118.6127167630058,124.5858184227965,117.9447852760736,122.2087867795244,123.5849056603774,Eden Gardens,590,120.162932790224,26.03855396934038,52.07530218845414,65.74835327719903,3.424429375074354,33.19151548121384,caught,79
