venue,umpire2,winner_runs,date,method,reserve_umpire,winner,city,balls_per_over,outcome,match_number,match_referee,team1,eliminator,date1,gender,team2,winner_wickets,toss_winner,toss_decision,date2,tv_umpire,season,umpire1,event,neutralvenue,player_of_match,matchId
M Chinnaswamy Stadium,RE Koertzen,140.0,2008-04-18,,VN Kulkarni,Kolkata Knight Riders,Bangalore,6,,1.0,J Srinath,Royal Challengers Bengaluru,,,male,Kolkata Knight Riders,,Royal Challengers Bengaluru,field,,AM Saheba,2007/08,Asad Rauf,Indian Premier League,,BB McCullum,335982
"Punjab Cricket Association Stadium, Mohali",SL Shastri,33.0,2008-04-19,,MSS Ranawat,Chennai Super Kings,Chandigarh,6,,2.0,S Venkataraghavan,Punjab Kings,,,male,Chennai Super Kings,,Chennai Super Kings,bat,,RB Tiffin,2007/08,MR Benson,Indian Premier League,,MEK Hussey,335983
Feroz Shah Kotla,GA Pratapkumar,,2008-04-19,,,Delhi Capitals,Delhi,6,,3.0,GR Viswanath,Delhi Capitals,,,male,Rajasthan Royals,9.0,Rajasthan Royals,bat,,IL Howell,2007/08,Aleem Dar,Indian Premier League,,MF Maharoof,335984
Wankhede Stadium,DJ Harper,,2008-04-20,,SN Bandekar,Royal Challengers Bengaluru,Mumbai,6,,5.0,J Srinath,Mumbai Indians,,,male,Royal Challengers Bengaluru,5.0,Mumbai Indians,bat,,AV Jayaprakash,2007/08,SJ Davis,Indian Premier League,,MV Boucher,335985
Eden Gardens,K Hariharan,,2008-04-20,,F Gomes,Kolkata Knight Riders,Kolkata,6,,4.0,FM Engineer,Kolkata Knight Riders,,,male,Sunrisers Hyderabad,5.0,Sunrisers Hyderabad,bat,,Asad Rauf,2007/08,BF Bowden,Indian Premier League,,DJ Hussey,335986
Sawai Mansingh Stadium,RB Tiffin,,2008-04-21,,MSS Ranawat,Rajasthan Royals,Jaipur,6,,6.0,S Venkataraghavan,Rajasthan Royals,,,male,Punjab Kings,6.0,Punjab Kings,bat,,I Shivram,2007/08,Aleem Dar,Indian Premier League,,SR Watson,335987
"Rajiv Gandhi International Stadium, Uppal",AM Saheba,,2008-04-22,,C Shamshuddin,Delhi Capitals,Hyderabad,6,,7.0,Talat Ali,Sunrisers Hyderabad,,,male,Delhi Capitals,9.0,Sunrisers Hyderabad,bat,,MR Benson,2007/08,IL Howell,Indian Premier League,,V Sehwag,335988
"MA Chidambaram Stadium, Chepauk",GA Pratapkumar,6.0,2008-04-23,,S Ravi,Chennai Super Kings,Chennai,6,,8.0,FM Engineer,Chennai Super Kings,,,male,Mumbai Indians,,Mumbai Indians,field,,BF Bowden,2007/08,DJ Harper,Indian Premier League,,ML Hayden,335989
"Rajiv Gandhi International Stadium, Uppal",MR Benson,,2008-04-24,,C Shamshuddin,Rajasthan Royals,Hyderabad,6,,9.0,S Venkataraghavan,Sunrisers Hyderabad,,,male,Rajasthan Royals,3.0,Rajasthan Royals,field,,SL Shastri,2007/08,Asad Rauf,Indian Premier League,,YK Pathan,335990
"Punjab Cricket Association Stadium, Mohali",AM Saheba,66.0,2008-04-25,,HS Sekhon,Punjab Kings,Chandigarh,6,,10.0,FM Engineer,Punjab Kings,,,male,Mumbai Indians,,Mumbai Indians,field,,RE Koertzen,2007/08,Aleem Dar,Indian Premier League,,KC Sangakkara,335991
M Chinnaswamy Stadium,IL Howell,,2008-04-26,,SK Tarapore,Rajasthan Royals,Bangalore,6,,12.0,J Srinath,Royal Challengers Bengaluru,,,male,Rajasthan Royals,7.0,Rajasthan Royals,field,,GA Pratapkumar,2007/08,MR Benson,Indian Premier League,,SR Watson,335992
"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,,2008-04-26,,S Ravi,Chennai Super Kings,Chennai,6,,11.0,Talat Ali,Chennai Super Kings,,,male,Kolkata Knight Riders,9.0,Kolkata Knight Riders,bat,,SJ Davis,2007/08,BF Bowden,Indian Premier League,,JDP Oram,335993
Dr DY Patil Sports Academy,SL Shastri,,2008-04-27,,VD Nerurkar,Sunrisers Hyderabad,Mumbai,6,,14.0,S Venkataraghavan,Mumbai Indians,,,male,Sunrisers Hyderabad,10.0,Sunrisers Hyderabad,field,,DJ Harper,2007/08,Asad Rauf,Indian Premier League,,AC Gilchrist,335994
"Punjab Cricket Association Stadium, Mohali",I Shivram,,2008-04-27,,MS Mahal,Punjab Kings,Chandigarh,6,,13.0,FM Engineer,Punjab Kings,,,male,Delhi Capitals,4.0,Delhi Capitals,bat,,Aleem Dar,2007/08,RE Koertzen,Indian Premier League,,SM Katich,335995
M Chinnaswamy Stadium,RB Tiffin,13.0,2008-04-28,,,Chennai Super Kings,Bangalore,6,,15.0,J Srinath,Royal Challengers Bengaluru,,,male,Chennai Super Kings,,Chennai Super Kings,bat,,K Hariharan,2007/08,BR Doctrove,Indian Premier League,,MS Dhoni,335996
Eden Gardens,AV Jayaprakash,,2008-04-29,,SK Porel,Mumbai Indians,Kolkata,6,,16.0,S Venkataraghavan,Kolkata Knight Riders,,,male,Mumbai Indians,7.0,Kolkata Knight Riders,bat,,MR Benson,2007/08,BF Bowden,Indian Premier League,,ST Jayasuriya,335997
Feroz Shah Kotla,I Shivram,10.0,2008-04-30,,AK Chaudhary,Delhi Capitals,Delhi,6,,17.0,CH Lloyd,Delhi Capitals,,,male,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,field,,IL Howell,2007/08,Aleem Dar,Indian Premier League,,GD McGrath,335998
"Rajiv Gandhi International Stadium, Uppal",RB Tiffin,,2008-05-01,,C Shamshuddin,Punjab Kings,Hyderabad,6,,19.0,Talat Ali,Sunrisers Hyderabad,,,male,Punjab Kings,7.0,Punjab Kings,field,,SJ Davis,2007/08,BR Doctrove,Indian Premier League,,SE Marsh,335999
Sawai Mansingh Stadium,GA Pratapkumar,45.0,2008-05-01,,MSS Ranawat,Rajasthan Royals,Jaipur,6,,18.0,FM Engineer,Rajasthan Royals,,,male,Kolkata Knight Riders,,Rajasthan Royals,bat,,Asad Rauf,2007/08,RE Koertzen,Indian Premier League,,SA Asnodkar,336000
"MA Chidambaram Stadium, Chepauk",K Hariharan,,2008-05-02,,S Ravi,Delhi Capitals,Chennai,6,,20.0,S Venkataraghavan,Chennai Super Kings,,,male,Delhi Capitals,8.0,Chennai Super Kings,bat,,MR Benson,2007/08,BF Bowden,Indian Premier League,,V Sehwag,336001
M Chinnaswamy Stadium,SL Shastri,3.0,2008-05-03,,CK Nandan,Royal Challengers Bengaluru,Bangalore,6,,21.0,Talat Ali,Royal Challengers Bengaluru,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,SK Tarapore,2007/08,BR Doctrove,Indian Premier League,,P Kumar,336034
"Punjab Cricket Association Stadium, Mohali",I Shivram,9.0,2008-05-03,,MS Mahal,Punjab Kings,Chandigarh,6,,22.0,CH Lloyd,Punjab Kings,,,male,Kolkata Knight Riders,,Punjab Kings,bat,,SJ Davis,2007/08,DJ Harper,Indian Premier League,,IK Pathan,336003
