batter,label
V Kohli,Consistent Elite Players
RG Sharma,Consistent Elite Players
S Dhawan,Consistent Elite Players
DA Warner,Consistent Elite Players
SK Raina,Consistent Elite Players
MS Dhoni,Consistent Elite Players
KL Rahul,Consistent Elite Players
AB de Villiers,Consistent Elite Players
AM Rahane,Dependable Anchors
CH Gayle,Consistent Elite Players
RV Uthappa,Dependable Anchors
KD Karthik,Dependable Anchors
F du Plessis,Consistent Elite Players
SV Samson,Consistent Elite Players
AT Rayudu,Dependable Anchors
SA Yadav,Consistent Elite Players
G Gambhir,Dependable Anchors
JC Buttler,Consistent Elite Players
MK Pandey,Dependable Anchors
SR Watson,Consistent Elite Players
Shubman Gill,Consistent Elite Players
SS Iyer,Consistent Elite Players
RR Pant,Consistent Elite Players
KA Pollard,Consistent Elite Players
Q de Kock,Consistent Elite Players
RA Jadeja,Dependable Anchors
YK Pathan,Consistent Elite Players
DA Miller,Consistent Elite Players
Ishan Kishan,Consistent Elite Players
WP Saha,Dependable Anchors
BB McCullum,Dependable Anchors
PA Patel,Dependable Anchors
N Rana,Consistent Elite Players
GJ Maxwell,Consistent Elite Players
MA Agarwal,Dependable Anchors
HH Pandya,Consistent Elite Players
Yuvraj Singh,Dependable Anchors
V Sehwag,Consistent Elite Players
AD Russell,Consistent Elite Players
M Vijay,Dependable Anchors
RD Gaikwad,Consistent Elite Players
SE Marsh,Consistent Elite Players
SPD Smith,Consistent Elite Players
JH Kallis,Dependable Anchors
DR Smith,Consistent Elite Players
SR Tendulkar,Consistent Elite Players
N Pooran,Consistent Elite Players
RA Tripathi,Dependable Anchors
R Dravid,Dependable Anchors
YBK Jaiswal,Consistent Elite Players
KS Williamson,Consistent Elite Players
AJ Finch,Dependable Anchors
AC Gilchrist,Consistent Elite Players
JP Duminy,Consistent Elite Players
MP Stoinis,Consistent Elite Players
MEK Hussey,Consistent Elite Players
AR Patel,Dependable Anchors
PP Shaw,Consistent Elite Players
S Dube,Consistent Elite Players
Abhishek Sharma,Consistent Elite Players
DPMD Jayawardene,Dependable Anchors
D Padikkal,Dependable Anchors
SP Narine,Power-Hitters (Aggressive)
B Sai Sudharsan,Consistent Elite Players
KH Pandya,Dependable Anchors
Mandeep Singh,Dependable Anchors
KK Nair,Dependable Anchors
MK Tiwary,Dependable Anchors
KC Sangakkara,Dependable Anchors
JM Bairstow,Consistent Elite Players
R Parag,Dependable Anchors
DJ Bravo,Dependable Anchors
NV Ojha,Dependable Anchors
Tilak Varma,Consistent Elite Players
SS Tiwary,Dependable Anchors
SO Hetmyer,Consistent Elite Players
DJ Hooda,Dependable Anchors
H Klaasen,Consistent Elite Players
VR Iyer,Consistent Elite Players
S Badrinath,Dependable Anchors
AK Markram,Consistent Elite Players
EJG Morgan,Dependable Anchors
BJ Hodge,Dependable Anchors
P Simran Singh,Consistent Elite Players
SC Ganguly,Dependable Anchors
CA Lynn,Consistent Elite Players
DJ Hussey,Dependable Anchors
MR Marsh,Consistent Elite Players
V Shankar,Dependable Anchors
KM Jadhav,Dependable Anchors
MM Ali,Dependable Anchors
IK Pathan,Dependable Anchors
TM Head,Consistent Elite Players
TM Dilshan,Dependable Anchors
RM Patidar,Consistent Elite Players
R Tewatia,Dependable Anchors
ML Hayden,Consistent Elite Players
RK Singh,Consistent Elite Players
M Vohra,Dependable Anchors
DP Conway,Consistent Elite Players
LMP Simmons,Consistent Elite Players
PD Salt,Consistent Elite Players
LS Livingstone,Consistent Elite Players
LRPL Taylor,Dependable Anchors
KP Pietersen,Consistent Elite Players
MC Henriques,Dependable Anchors
SM Curran,Dependable Anchors
JM Sharma,Consistent Elite Players
Y Venugopal Rao,Dependable Anchors
A Symonds,Consistent Elite Players
JA Morkel,Dependable Anchors
A Badoni,Dependable Anchors
CL White,Dependable Anchors
BA Stokes,Dependable Anchors
HH Gibbs,Dependable Anchors
STR Binny,Dependable Anchors
R Ashwin,Bowling All-Rounders
TH David,Consistent Elite Players
Harbhajan Singh,Dependable Anchors
MS Bisla,Dependable Anchors
Shakib Al Hasan,Dependable Anchors
Shashank Singh,Consistent Elite Players
ST Jayasuriya,Power-Hitters (Aggressive)
Abdul Samad,Dependable Anchors
M Shahrukh Khan,Dependable Anchors
GC Smith,Dependable Anchors
AD Mathews,Dependable Anchors
N Wadhera,Consistent Elite Players
T Stubbs,Consistent Elite Players
C Green,Consistent Elite Players
Dhruv Jurel,Consistent Elite Players
TL Suman,Dependable Anchors
AM Nayar,Dependable Anchors
Abishek Porel,Consistent Elite Players
GJ Bailey,Dependable Anchors
E Lewis,Consistent Elite Players
PP Chawla,Bowling All-Rounders
JJ Roy,Consistent Elite Players
CH Morris,Dependable Anchors
PJ Cummins,Dependable Anchors
JD Ryder,Dependable Anchors
SN Khan,Dependable Anchors
Rashid Khan,Dependable Anchors
HM Amla,Consistent Elite Players
Priyansh Arya,Power-Hitters (Aggressive)
Shahbaz Ahmed,Dependable Anchors
CJ Anderson,Dependable Anchors
RS Bopara,Dependable Anchors
MK Lomror,Dependable Anchors
JP Faulkner,Dependable Anchors
M Manhas,Bowling All-Rounders
Gurkeerat Singh,Dependable Anchors
Washington Sundar,Dependable Anchors
OA Shah,Dependable Anchors
PC Valthaty,Dependable Anchors
SW Billings,Dependable Anchors
Nithish Kumar Reddy,Dependable Anchors
RR Rossouw,Consistent Elite Players
A Raghuvanshi,Consistent Elite Players
WG Jacks,Consistent Elite Players
D Brevis,Consistent Elite Players
DT Christian,Bowling All-Rounders
SA Asnodkar,Power-Hitters (Aggressive)
NLTC Perera,Dependable Anchors
JR Hopes,Dependable Anchors
R Ravindra,Consistent Elite Players
J Botha,Bowling All-Rounders
LR Shukla,Bowling All-Rounders
SE Rutherford,Dependable Anchors
AL Menaria,Dependable Anchors
Naman Dhir,Consistent Elite Players
CA Pujara,Bowling All-Rounders
RD Rickelton,Power-Hitters (Aggressive)
Azhar Mahmood,Dependable Anchors
MV Boucher,Dependable Anchors
Ashutosh Sharma,Consistent Elite Players
A Mishra,Bowling All-Rounders
J Fraser-McGurk,Power-Hitters (Aggressive)
KR Mayers,Power-Hitters (Aggressive)
DB Ravi Teja,Dependable Anchors
S Sohal,Power-Hitters (Aggressive)
R Powell,Dependable Anchors
P Negi,Dependable Anchors
Rahmanullah Gurbaz,Power-Hitters (Aggressive)
KV Sharma,Bowling All-Rounders
DJ Mitchell,Dependable Anchors
R Bhatia,Bowling All-Rounders
